Name,RA_hms,DEC_dms,RA,DEC,kg5,u,g,r,i,z,iz,n86,NaI,clear,bowen,bcont,rcont,Ha_narrow,Ha_broad,Type,SpType,fname,Gaia_DR3_ID,Variability
WD1626+368,16:28:25.03,36:46:15.40,247.10429,36.770944,13.854,14.004,13.806,13.858,13.985,14.191,14.045,14.138,13.827,13.896,13.780,13.807,13.971,13.968,13.971,Secondary,DZA6,V2.SPSS194.ascii,1331106782752978688,Constant
G170-47,17:32:41.63,23:44:11.64,263.17346,23.736567,9.008,10.095,9.164,8.726,8.536,8.496,8.524,8.477,8.775,8.870,9.196,9.011,8.675,8.665,8.675,Secondary,G0,V2.SPSS139.ascii,4569481097095820032,Constant
1743045,17:43:04.48,66:55:01.60,265.76867,66.917111,13.594,14.547,13.552,13.532,13.600,13.695,13.628,13.665,13.506,13.602,13.488,13.508,13.663,13.671,13.663,Primary,A5,V2.SPSS035.ascii,1634280312200704768,Constant
KF08T3,17:55:16.23,66:10:11.70,268.81762,66.169917,13.417,15.544,13.684,13.003,12.749,12.644,12.716,12.647,13.059,13.201,13.702,13.499,12.916,12.915,12.916,Primary,K0,V2.SPSS045.ascii,1633294634388508416,Constant
2MASSJ17571324+6703409,17:57:13.25,67:03:40.90,269.30521,67.061361,11.882,12.866,11.837,11.817,11.898,12.002,11.929,11.991,11.790,11.892,11.767,11.806,11.949,11.945,11.949,Secondary,A3,V2.SPSS309.ascii,1633585107317144960,Constant
KF06T2,17:58:37.99,66:46:52.20,269.65829,66.781167,14.083,16.828,14.460,13.597,13.249,13.080,13.194,13.102,13.681,13.793,14.501,14.245,13.473,13.472,13.473,Primary,K1,V2.SPSS047.ascii,1633376204407124352,Constant
BD+661071,18:02:10.92,66:12:26.39,270.5455,66.207331,10.640,11.602,10.673,10.474,10.449,10.511,10.468,10.495,10.475,10.594,10.642,10.589,10.516,10.527,10.516,Secondary,F5,V2.SPSS311.ascii,2161721571962091136,Constant
1805292,18:05:29.28,64:27:52.00,271.372,64.464444,12.341,13.198,12.242,12.373,12.525,12.677,12.570,12.661,12.330,12.392,12.163,12.244,12.564,12.567,12.564,Primary,A6,V2.SPSS036.ascii,2161093682102883712,Constant
1812095,18:12:09.57,63:29:42.30,273.03987,63.495083,11.806,12.769,11.730,11.783,11.902,12.034,11.941,12.017,11.744,11.836,11.655,11.706,11.949,11.968,11.949,Primary,A5,V2.SPSS037.ascii,2160839724980689408,Constant
LTT7379,18:36:25.95,-44:18:36.94,279.10813,-44.310261,10.333,11.492,10.447,10.076,9.929,9.975,9.944,9.931,10.102,10.225,10.434,10.322,10.058,10.062,10.058,Primary,G0,V2.SPSS049.ascii,6709878766312642944,Constant
G184-17,18:40:29.27,19:36:06.65,280.12196,19.601847,14.196,15.602,14.413,13.843,13.617,13.526,13.588,13.533,13.893,14.015,14.434,14.221,13.784,13.775,13.784,Secondary,K,V2.SPSS259.ascii,4524670913035545344,Constant
WD1845+019,18:47:39.08,01:57:35.62,281.91283,1.9598944,12.867,12.512,12.743,13.158,13.389,13.447,13.407,13.453,13.079,12.978,12.655,12.833,13.406,13.424,13.406,Secondary,DA2,V2.SPSS141.ascii,4279269469712040832,
GJ745A,19:07:05.56,20:53:16.97,286.77317,20.888047,10.723,14.144,11.492,10.164,9.149,8.629,8.962,8.733,10.397,10.004,11.537,11.297,9.694,9.700,9.694,Secondary,M2,V2.SPSS339.ascii,4519789321942643072,Constant
GJ745B,19:07:13.20,20:52:37.24,286.805,20.877011,10.722,14.146,11.490,10.165,9.138,8.616,8.950,8.723,10.400,9.996,11.534,11.295,9.690,9.696,9.690,Secondary,M2,V2.SPSS340.ascii,4519789081415296128,Constant
WD1914-598,19:18:44.84,-59:46:33.80,289.68683,-59.776056,14.366,14.298,14.230,14.585,14.869,15.222,14.965,15.108,14.498,14.485,14.110,14.263,14.921,14.940,14.921,Secondary,DA,V2.SPSS262.ascii,6446197877766956800,Constant
EG131,19:20:34.93,-07:40:00.05,290.14554,-7.6666806,12.278,12.225,12.222,12.360,12.533,12.773,12.601,12.701,12.335,12.347,12.204,12.244,12.425,12.427,12.425,Primary,DBQA5,V2.SPSS050.ascii,4201781696994073472,Constant
WD1919+145,19:21:40.40,14:40:43.00,290.41833,14.678611,13.011,13.129,12.886,13.162,13.449,13.776,13.540,13.691,13.064,13.119,12.744,12.864,13.573,13.585,13.573,Secondary,DA3,V2.SPSS144.ascii,4319908862597055232,Constant
G23-14,19:51:49.61,05:36:45.84,297.95671,5.6127333,10.829,12.151,11.026,10.498,10.276,10.205,10.254,10.206,10.553,10.660,11.051,10.856,10.436,10.429,10.436,Secondary,G5,V2.SPSS145.ascii,4296558843393685632,Constant
WD2004-605,20:09:05.24,-60:25:41.60,302.27183,-60.428222,13.234,12.724,13.107,13.596,13.951,14.341,14.056,14.223,13.514,13.385,13.039,13.233,13.826,13.835,13.826,Secondary,DA1,V2.SPSS201.ascii,6443328221136801920,Constant
LTT7987,20:10:56.85,-30:13:06.64,302.73687,-30.218511,12.262,12.396,12.132,12.423,12.681,13.000,12.769,12.916,12.329,12.367,11.990,12.118,12.810,12.835,12.810,Primary,DA4,V2.SPSS017.ascii,6749419923164242816,Constant
WD2032+248,20:34:21.88,25:03:49.72,308.59117,25.063811,11.493,11.350,11.358,11.725,12.056,12.409,12.153,12.315,11.635,11.621,11.249,11.404,12.061,12.062,12.061,Secondary,DA2,V2.SPSS146.ascii,1831553382794173824,
WD2034-532,20:38:16.84,-53:04:25.40,309.57017,-53.073722,14.324,14.094,14.225,14.524,14.768,15.034,14.844,14.971,14.501,14.429,14.173,14.270,14.607,14.612,14.607,Secondary,DB4,V2.SPSS266.ascii,6471102606408911360,Constant
G24-25,20:40:16.10,00:33:19.74,310.06708,0.55548333,10.659,11.676,10.779,10.405,10.271,10.250,10.265,10.232,10.439,10.549,10.779,10.638,10.379,10.359,10.379,Secondary,G0,V2.SPSS147.ascii,4228176122142169600,Constant
WD2039-682,20:44:21.47,-68:05:21.30,311.08946,-68.08925,13.330,13.358,13.207,13.499,13.758,14.087,13.849,14.005,13.399,13.437,13.061,13.186,13.896,13.910,13.896,Secondary,DA3,V2.SPSS204.ascii,6424566979354709248,Constant
WD2047+372,20:49:06.69,37:28:13.90,312.27788,37.470528,13.038,13.225,12.920,13.163,13.413,13.713,13.497,13.635,13.062,13.134,12.769,12.875,13.585,13.595,13.585,Secondary,DA3,V2.SPSS149.ascii,1871118140493076224,Constant
WD2111+498,21:12:44.05,50:06:17.80,318.18354,50.104944,12.937,12.461,12.811,13.273,13.640,14.008,13.741,13.908,13.193,13.085,12.742,12.933,13.484,13.492,13.484,Secondary,DA1,V2.SPSS205.ascii,2166111956258599680,
WD2105-820,21:13:13.90,-81:49:04.00,318.30792,-81.817778,13.715,13.998,13.655,13.736,13.872,14.083,13.933,14.000,13.668,13.764,13.565,13.580,14.043,14.049,14.043,Secondary,DA5,V2.SPSS206.ascii,6348672845649310464,Constant
WD2117+539,21:18:56.27,54:12:41.25,319.73446,54.211458,12.381,12.536,12.254,12.528,12.809,13.116,12.894,13.030,12.439,12.486,12.116,12.237,12.915,12.916,12.915,Secondary,DA3,V2.SPSS300.ascii,2176116580055936512,Constant
WD2134+218,21:36:36.30,22:04:33.00,324.15125,22.075833,14.467,14.457,14.338,14.653,14.947,15.251,15.032,15.178,14.563,14.580,14.215,14.355,14.998,14.993,14.998,Secondary,DA3,V2.SPSS271.ascii,1793946026371051648,
WD2140+207,21:42:41.00,20:59:58.24,325.67083,20.999511,13.262,13.423,13.242,13.250,13.347,13.502,13.392,13.450,13.233,13.291,13.242,13.229,13.271,13.271,13.271,Secondary,DQ6,V2.SPSS211.ascii,1792830060723673472,Constant
G93-48,21:52:25.38,02:23:19.56,328.10575,2.3887667,12.762,12.754,12.631,12.953,13.242,13.572,13.333,13.475,12.862,12.876,12.507,12.648,13.307,13.304,13.307,Primary,DA3,V2.SPSS019.ascii,2693940725141960192,
WD2216-657,22:19:48.35,-65:29:18.11,334.95146,-65.488364,14.549,14.614,14.487,14.590,14.731,14.939,14.791,14.914,14.559,14.603,14.460,14.500,14.645,14.646,14.645,Secondary,DZ5,V2.SPSS276.ascii,6404417771644764160,Constant
LTT9239,22:52:41.03,-20:35:32.89,343.17096,-20.592469,12.167,13.231,12.299,11.903,11.729,11.764,11.740,11.753,11.938,12.048,12.303,12.160,11.873,11.867,11.873,Primary,F,V2.SPSS021.ascii,2398029465700538880,Constant
WD2251-634,22:55:10.00,-63:10:27.00,343.79167,-63.174167,14.113,14.053,13.979,14.331,14.597,14.918,14.686,14.812,14.248,14.228,13.862,14.010,14.654,14.664,14.654,Secondary,DA,V2.SPSS279.ascii,6394241555306538240,Constant
WD2309+105,23:12:21.62,10:47:04.25,348.09008,10.784514,12.958,12.394,12.835,13.326,13.711,14.096,13.815,13.986,13.248,13.113,12.781,12.981,13.503,13.498,13.503,Secondary,DA1,V2.SPSS305.ascii,2810585920868186240,
